question,expected_source,top_1,retrieved,hit@1,hit@3,hit@5
What was the size and new rate of the policy repo rate cut decided in June 2025?,Jun_20_2025_minutes_60686.pdf,Apr_13_2020_minutes_49659.pdf,Apr_13_2020_minutes_49659.pdf | Dec_20_2017_minutes_42619.pdf | Oct_18_2019_minutes_48440.pdf | Jun_20_2025_minutes_60686.pdf | Oct_05_2018_resolution_45152.pdf,0,0,1
What inflation range did the RBI project for the remaining quarters of FY2017-18?,Dec_20_2017_minutes_42619.pdf,Dec_20_2017_minutes_42619.pdf,Dec_20_2017_minutes_42619.pdf | Jun_22_2023_minutes_55899.pdf | Apr_13_2020_minutes_49659.pdf | Apr_22_2021_minutes_51456.pdf | Jun_22_2022_minutes_53904.pdf,1,1,1
What variable rate repo auction amount did the RBI conduct in July 2022 to address liquidity stress?,Aug_05_2022_governor_statement_54150.pdf,Aug_05_2022_governor_statement_54150.pdf,Aug_05_2022_governor_statement_54150.pdf | Feb_05_2021_governor_statement_51076.pdf | Feb_05_2021_governor_statement_51076.pdf | Apr_23_2025_minutes_60279.pdf | Apr_06_2023_governor_statement_55471.pdf,1,1,1
How did the RBI's inflation projection for 2023-24 change between the April and June 2023 meetings?,Jun_22_2023_minutes_55899.pdf,May_18_2022_minutes_53728.pdf,May_18_2022_minutes_53728.pdf | Jun_22_2023_minutes_55899.pdf | Jun_22_2022_minutes_53904.pdf | Feb_21_2019_minutes_46358.pdf | Apr_13_2020_minutes_49659.pdf,0,1,1
What did the MPC decide on the policy repo rate in the April 2019 resolution?,Apr_04_2019_resolution_46722.pdf,Apr_23_2025_minutes_60279.pdf,Apr_23_2025_minutes_60279.pdf | Feb_06_2020_resolution_49342.pdf | Apr_07_2021_resolution_51381.pdf | Aug_20_2020_minutes_50240.pdf | Jun_20_2025_minutes_60686.pdf,0,0,0
What did Governor Raghuram Rajan say about the inflation target in the April 2016 statement?,Apr_05_2016_governor_statement_36654.pdf,Oct_01_2025_governor_statement_61333.pdf,Oct_01_2025_governor_statement_61333.pdf | Apr_09_2025_governor_statement_60177.pdf | Oct_23_2020_minutes_50560.pdf | Dec_19_2019_minutes_48916.pdf | Apr_22_2021_minutes_51456.pdf,0,0,0
What repo rate change did the MPC announce in the April 2018 resolution?,Apr_05_2018_resolution_43573.pdf,Apr_23_2025_minutes_60279.pdf,Apr_23_2025_minutes_60279.pdf | Aug_21_2019_minutes_47941.pdf | Feb_06_2020_resolution_49342.pdf | Oct_18_2016_minutes_38332.pdf | Jun_20_2019_minutes_47359.pdf,0,0,0
What was the RBI's monetary policy stance announced in the April 2024 Governor's statement?,Apr_05_2024_governor_statement_57638.pdf,Jun_04_2021_governor_statement_51682.pdf,Jun_04_2021_governor_statement_51682.pdf | Dec_04_2020_governor_statement_50746.pdf | Apr_07_2021_governor_statement_51380.pdf | Aug_06_2021_governor_statement_52008.pdf | Aug_06_2020_governor_statement_50174.pdf,0,0,0
What repo rate decision did the MPC make in the April 2024 resolution?,Apr_05_2024_resolution_57637.pdf,Apr_23_2025_minutes_60279.pdf,Apr_23_2025_minutes_60279.pdf | Jun_20_2025_minutes_60686.pdf | Feb_06_2020_resolution_49342.pdf | Oct_18_2016_minutes_38332.pdf | Aug_21_2019_minutes_47941.pdf,0,0,0
What repo rate change did the MPC decide in the April 2017 resolution?,Apr_06_2017_resolution_40069.pdf,Apr_23_2025_minutes_60279.pdf,Apr_23_2025_minutes_60279.pdf | Feb_06_2020_resolution_49342.pdf | Aug_21_2019_minutes_47941.pdf | Oct_18_2016_minutes_38332.pdf | Dec_20_2024_minutes_59347.pdf,0,0,0
What repo rate decision did the MPC make in the April 2023 resolution?,Apr_06_2023_resolution_55472.pdf,Apr_23_2025_minutes_60279.pdf,Apr_23_2025_minutes_60279.pdf | Jun_20_2025_minutes_60686.pdf | Feb_06_2020_resolution_49342.pdf | Aug_21_2019_minutes_47941.pdf | Oct_18_2016_minutes_38332.pdf,0,0,0
What did the Governor say about growth and inflation in the April 2021 statement?,Apr_07_2021_governor_statement_51380.pdf,Apr_09_2025_governor_statement_60177.pdf,Apr_09_2025_governor_statement_60177.pdf | Dec_08_2023_governor_statement_56887.pdf | Feb_08_2024_governor_statement_57277.pdf | Dec_06_2024_governor_statement_59246.pdf | Apr_06_2023_governor_statement_55471.pdf,0,0,0
What repo rate decision did the MPC make in the April 2021 resolution?,Apr_07_2021_resolution_51381.pdf,Apr_23_2025_minutes_60279.pdf,Apr_23_2025_minutes_60279.pdf | Feb_06_2020_resolution_49342.pdf | Jun_20_2025_minutes_60686.pdf | Apr_07_2021_resolution_51381.pdf | Aug_21_2019_minutes_47941.pdf,0,0,1
What did the Governor say about the repo rate hike in the April 2022 statement?,Apr_08_2022_governor_statement_53535.pdf,Jun_22_2023_minutes_55899.pdf,Jun_22_2023_minutes_55899.pdf | Apr_06_2023_governor_statement_55471.pdf | Feb_20_2026_minutes_62261.pdf | Apr_08_2022_governor_statement_53535.pdf | Dec_20_2017_minutes_42619.pdf,0,0,1
What did the MPC decide on the repo rate in the June 2025 minutes regarding liquidity?,Jun_20_2025_minutes_60686.pdf,Jun_06_2025_governor_statement_60605.pdf,Jun_06_2025_governor_statement_60605.pdf | Aug_05_2026_resolution_63287.pdf | Feb_20_2026_minutes_62261.pdf | Dec_19_2025_minutes_61856.pdf | Apr_22_2026_minutes_62599.pdf,0,0,0
